LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
1,6499.56,24,484.42,1433,10125,578,60,60,484.42,16,0.73,1
3,3599.79,24,365.07,1342,6400,598,60,62,365.07,11,0.82,1
4,2451.58,17.95,430.37,1115,13275,573,60,60,430.37,6,0.90,1
5,3594.28,17.99,369.48,65,9250,598,72,60,369.48,11,0.82,0
6,3595.07,17.95,655.06,101,18800,550,76,72,655.06,6,0.92,0
7,4002.6,16.95,256.81,1258,11375,529,111,35,554.71,8,0.77,1
8,4448.83,17.95,516.76,0,13925,557,74,111,516.76,9,0.92,0
9,1236.8,18,371.59,547,10350,481,66,74,371.59,3,0.96,1
11,7241.13,18,420.42,0,13225,500,75,66,420.42,20,0.70,0
12,2649.18,18,455.21,0,13075,570,74,81,455.21,6,0.93,0
13,14143.42,27,515.44,887,11600,552,74,75,515.44,43,0.43,1
14,1225.07,15,454.62,0,15100,614,79,74,454.62,3,0.96,0
15,5834.48,18.24,413.67,59,11350,509,77,74,413.67,16,0.78,0
16,4819.9,23.95,521.55,1,15475,551,74,79,521.55,10,0.87,0
17,12365.12,18,553.52,395,13125,594,76,77,553.52,27,0.65,1
18,1410.93,25,219.37,745,4300,618,60,74,219.37,7,0.91,1
19,8058.02,24.99,387.18,1605,8600,514,48,76,387.18,28,0.63,1
20,1782.68,24,403.66,428,10175,506,72,60,403.66,5,0.92,1
21,9362.85,20.95,374.67,1331,10425,528,72,48,374.67,33,0.31,1
22,3357.81,23.95,406.89,25,8550,509,66,72,406.89,9,0.88,0
23,11836.45,24,423.21,749,10725,544,74,72,423.21,41,0.43,1
25,1667.02,18.99,373.55,7,11775,528,74,66,373.55,5,0.92,0
27,5521.79,24.95,365.76,87,9025,511,67,74,365.76,18,0.76,0
28,5273.21,21,436,866,9150,563,60,72,436.00,14,0.81,1
30,3300.75,17.99,420.08,4,11625,499,73,74,420.08,8,0.89,0
31,5550.87,20.57,475.58,0,12675,444,67,79,475.58,13,0.84,0
33,1144.37,18.34,551.61,0,17925,566,72,67,551.61,2,0.97,0
34,1065.13,28,235,494,5350,531,48,60,235.00,5,0.92,0
35,2674.74,18,353.42,0,11100,582,75,62,353.42,8,0.87,0
36,1164.52,18.23,396.82,0,11050,589,75,73,396.82,3,0.96,0
38,4115.98,18.03,367.61,4,9625,450,75,67,367.61,12,0.82,0
39,4003.18,18.24,562.11,37,17175,571,73,73,562.11,8,0.89,0
40,2181.98,18.5,414.2,0,10600,510,78,72,414.20,6,0.92,0
41,3227.59,18.24,485.56,84,13950,568,70,48,485.56,7,0.85,0
42,4096.28,18,441.6,0,13450,617,75,75,441.60,10,0.87,0
43,3351.48,16.98,350.14,93,11200,526,70,75,350.14,10,0.87,0
44,3570.4,18.02,425.16,4,10725,506,77,74,425.16,9,0.88,0
45,1158.4,19.03,355.99,31,10525,566,72,75,355.99,3,0.96,0
46,3187.48,18.25,416.06,4,11900,469,76,73,416.06,8,0.89,0
47,7059.27,18,433.38,0,11475,568,74,78,433.38,19,0.76,0
48,1062.26,18.24,346.74,14,9675,564,72,70,346.74,3,0.96,0
49,2296.88,18.24,435.93,0,13200,542,74,75,435.93,6,0.92,0
50,5572.16,21,599.93,0,20075,539,74,70,599.93,10,0.86,0
51,8181.69,18,590.08,8,17975,600,72,77,590.08,16,0.79,0
53,4418.71,22.75,172.77,1231,5150,569,98,33,373.18,14,0.58,1
54,5219.73,18.98,555.39,0,19050,592,75,76,555.39,10,0.87,0
56,4186.28,23.99,424.5,109,10575,566,62,74,424.50,11,0.85,0
57,6275.11,27.99,376.09,335,6850,551,60,72,376.09,21,0.71,1
58,4239.36,22.95,428.84,0,8850,584,74,74,428.84,11,0.85,0
60,3535,15.95,379.63,0,13975,628,72,74,379.63,10,0.86,0
61,5667.13,28,308.87,1502,4175,620,36,72,308.87,24,0.67,1
62,8957.05,24.95,462.19,781,12500,501,59,72,462.19,25,0.65,1
64,2222.34,22.95,482.79,36,10225,551,64,98,482.79,5,0.95,0
65,1255.18,25,449.48,86,8150,574,65,75,449.48,3,0.96,0
68,4825.1,22.95,499.45,50,10525,467,72,55,499.45,11,0.80,0
69,5182.55,20.91,393.53,0,10925,569,62,62,393.53,15,0.76,0
71,2626.03,17.95,549.45,4,15925,555,61,60,549.45,5,0.92,0
72,5938.1,25,463.27,61,9050,614,66,74,463.27,15,0.80,0
73,2137.06,25,503.68,943,9000,518,63,66,503.68,4,0.94,1
74,5849.61,21,545.31,785,12475,395,63,72,545.31,12,0.83,1
75,3251.19,19.49,324.7,0,9350,575,66,36,324.70,11,0.69,0
76,3960.01,18.5,208.22,645,6600,708,60,59,208.22,23,0.61,1
77,3934.91,24.9,253.46,1320,4700,543,50,72,253.46,19,0.74,1
78,3237.1,25,434.82,0,7300,542,69,64,434.82,8,0.88,0
79,6834.22,18.24,469.64,643,11300,598,72,65,469.64,17,0.74,1
80,1749.78,24.9,369.79,925,5225,619,48,72,369.79,5,0.93,1
81,3596.6,20.57,345.23,0,8900,742,72,76,345.23,12,0.84,0
82,2431.08,18,375.45,0,8925,519,72,72,375.45,7,0.90,0
83,4207.51,18,380.74,5,12325,560,72,62,380.74,12,0.81,0
84,2020.7,19,350.16,0,12925,586,72,61,350.16,6,0.90,0
85,6460.51,18.01,578,47,18975,682,75,61,578.00,12,0.80,0
86,3012.95,18,279.95,70,7550,606,78,66,279.95,12,0.82,0
87,2742.38,18.24,368.68,0,10225,614,72,63,368.68,8,0.87,0
88,3746.37,18,376.13,13,11050,560,73,63,376.13,11,0.83,0
89,3328.34,18,407.69,0,10800,548,74,66,407.69,9,0.86,0
90,4090.7,18.24,332.56,6,8925,534,76,60,332.56,14,0.77,0
91,3255.32,19.5,368.09,0,8525,639,74,50,368.09,10,0.80,0
92,7165.92,18.24,338.77,98,9375,518,78,69,338.77,26,0.62,0
93,3683.86,18,378.63,8,9400,609,75,72,378.63,11,0.85,0
94,6624.28,18.24,490.8,26,13500,534,75,48,490.80,15,0.69,0
96,15421.13,23.8,525.23,7,12175,595,81,72,525.23,44,0.39,0
97,3410.96,18.05,410.77,0,10975,511,70,72,410.77,9,0.88,0
99,5098.81,18,384.64,31,8975,519,73,72,384.64,15,0.79,0
100,6458,18,589.77,0,17525,598,75,72,589.77,12,0.83,0
102,2779.15,18.24,435.89,0,13450,594,72,75,435.89,7,0.91,0
103,8491.53,18.25,439.02,0,11775,598,80,78,439.02,23,0.71,0
104,5082.61,18,379.09,0,11250,527,74,72,379.09,15,0.79,0
105,2695.62,18.04,429.14,0,11675,634,72,73,429.14,7,0.90,0
106,3356.23,18.24,346.67,0,7750,508,72,74,346.67,11,0.85,0
